2015-09-22 11:37:19,858 [main] INFO  marytts.Realised acoustparams extractor Module started (AUDIO->REALISED_ACOUSTPARAMS, locale null).
2015-09-22 11:37:19,858 [main] INFO  marytts.Realised acoustparams extractor Starting power-on self test.
2015-09-22 11:37:19,858 [main] INFO  marytts.Realised acoustparams extractor Power-on self test complete.
2015-09-22 11:37:19,858 [main] INFO  marytts.Realised durations extractor Module started (AUDIO->REALISED_DURATIONS, locale null).
2015-09-22 11:37:19,858 [main] INFO  marytts.Realised durations extractor Starting power-on self test.
2015-09-22 11:37:19,858 [main] INFO  marytts.Realised durations extractor Power-on self test complete.
2015-09-22 11:37:19,858 [main] INFO  marytts.Praat TextGrid generator Module started (AUDIO->PRAAT_TEXTGRID, locale null).
2015-09-22 11:37:19,858 [main] INFO  marytts.Praat TextGrid generator Starting power-on self test.
2015-09-22 11:37:19,859 [main] INFO  marytts.Praat TextGrid generator Power-on self test complete.
2015-09-22 11:37:19,860 [main] INFO  marytts.main Startup complete.
2015-09-22 11:37:24,903 [pool-1-thread-1] INFO  marytts.R 1 New request (input type "SSML", output type "REALISED_ACOUSTPARAMS", voice "cmu-slt", audio "WAVE")
2015-09-22 11:37:24,904 [pool-1-thread-1] INFO  marytts.R 1 Handling request using the following modules:
2015-09-22 11:37:24,904 [pool-1-thread-1] INFO  marytts.R 1 - SSMLParser (marytts.modules.SSMLParser)
2015-09-22 11:37:24,904 [pool-1-thread-1] INFO  marytts.R 1 Next module: SSMLParser
2015-09-22 11:37:24,992 [pool-1-thread-1] INFO  marytts.R 1 Handling request using the following modules:
2015-09-22 11:37:24,992 [pool-1-thread-1] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2015-09-22 11:37:24,992 [pool-1-thread-1] INFO  marytts.R 1 - XML2Utt TokensEn (marytts.language.en.XML2UttTokensEn)
2015-09-22 11:37:24,993 [pool-1-thread-1] INFO  marytts.R 1 - TokenToWords (marytts.language.en.FreeTTSTokenToWords)
2015-09-22 11:37:24,993 [pool-1-thread-1] INFO  marytts.R 1 - Utt2XML WordsEn (marytts.language.en.Utt2XMLWordsEn)
2015-09-22 11:37:24,993 [pool-1-thread-1] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2015-09-22 11:37:24,993 [pool-1-thread-1] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2015-09-22 11:37:24,993 [pool-1-thread-1] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
2015-09-22 11:37:24,993 [pool-1-thread-1] INFO  marytts.R 1 - PronunciationModel (marytts.language.en.PronunciationModel)
2015-09-22 11:37:24,993 [pool-1-thread-1] INFO  marytts.R 1 - AcousticModeller (marytts.modules.AcousticModeller)
2015-09-22 11:37:24,993 [pool-1-thread-1] INFO  marytts.R 1 - Synthesis (marytts.modules.Synthesis)
2015-09-22 11:37:24,993 [pool-1-thread-1] INFO  marytts.R 1 - Realised acoustparams extractor (marytts.modules.RealisedAcoustparamsExtractor)
2015-09-22 11:37:24,993 [pool-1-thread-1] INFO  marytts.R 1 Next module: JTokeniser
